c,L,instance,realization,payoff
0.1,0,1,0,372.813480303584
0.1,0,1,1,352.40414166925564
0.1,0,1,2,367.89653911345204
0.1,0,1,3,362.45918921651645
0.1,0,1,4,373.7315201012265
0.1,0,1,5,341.77058520726655
0.1,0,1,6,362.7277967786497
0.1,0,1,7,366.7795540218998
0.1,0,1,8,350.7581199700942
0.1,0,1,9,358.03138280648164
0.1,0,1,10,362.13587124869315
0.1,0,1,11,358.0178558811398
0.1,0,1,12,360.3201577976173
0.1,0,1,13,366.6500206482315
0.1,0,1,14,355.5186324329131
0.1,0,1,15,358.66651662441035
0.1,0,1,16,356.489237266731
0.1,0,1,17,368.27453279690394
0.1,0,1,18,360.42000055494384
0.1,0,1,19,357.8783550038845
0.1,0,1,20,351.06050009701244
0.1,0,1,21,359.5321237300259
0.1,0,1,22,363.8116420220531
0.1,0,1,23,365.50837004655966
0.1,0,1,24,359.29252063831996
0.1,0,1,25,362.2805016069017
0.1,0,1,26,363.6133059057252
0.1,0,1,27,366.79221014127404
0.1,0,1,28,366.54471864618705
0.1,0,1,29,360.0872136446922
0.1,2,1,0,377.9475510988554
0.1,2,1,1,355.9026935226021
0.1,2,1,2,372.0382266693335
0.1,2,1,3,367.2352319775628
0.1,2,1,4,377.9952369613593
0.1,2,1,5,346.46935602914243
0.1,2,1,6,366.7486228776194
0.1,2,1,7,370.5521935334216
0.1,2,1,8,354.7485672616151
0.1,2,1,9,362.6968325011247
0.1,2,1,10,366.76647089193784
0.1,2,1,11,362.52572726237497
0.1,2,1,12,365.11227994417
0.1,2,1,13,371.36876415315226
0.1,2,1,14,360.63000687443247
0.1,2,1,15,362.8463889421663
0.1,2,1,16,360.95623166175767
0.1,2,1,17,372.88486105670904
0.1,2,1,18,364.54210209615013
0.1,2,1,19,361.8004789260323
0.1,2,1,20,355.82773270811435
0.1,2,1,21,364.2303595173121
0.1,2,1,22,369.16210161057455
0.1,2,1,23,369.0898562637263
0.1,2,1,24,364.0218515349808
0.1,2,1,25,366.17597647037087
0.1,2,1,26,367.4952343274141
0.1,2,1,27,371.52701275713906
0.1,2,1,28,370.7042229304924
0.1,2,1,29,364.75047565516934
0.1,4,1,0,378.2211609772276
0.1,4,1,1,355.7763034009743
0.1,4,1,2,372.2222869869985
0.1,4,1,3,367.108841855935
0.1,4,1,4,378.0688468397316
0.1,4,1,5,346.81013301190876
0.1,4,1,6,366.9342646659503
0.1,4,1,7,370.8258034117938
0.1,4,1,8,355.0221771399873
0.1,4,1,9,362.97044237949694
0.1,4,1,10,366.84679219991256
0.1,4,1,11,362.7993371407472
0.1,4,1,12,365.38588982254214
0.1,4,1,13,371.2423740315245
0.1,4,1,14,361.084817710469
0.1,4,1,15,362.9199988205385
0.1,4,1,16,361.02984154012984
0.1,4,1,17,372.7584709350813
0.1,4,1,18,364.8157119745223
0.1,4,1,19,361.87408880440455
0.1,4,1,20,355.9013425864866
0.1,4,1,21,364.30396939568425
0.1,4,1,22,369.2357114889468
0.1,4,1,23,369.4724445096613
0.1,4,1,24,363.895461413353
0.1,4,1,25,366.4495863487431
0.1,4,1,26,367.7688442057863
0.1,4,1,27,371.7159370793529
0.1,4,1,28,370.7778328088646
0.1,4,1,29,365.02408553354155
0.1,6,1,0,378.2211609772276
0.1,6,1,1,355.7763034009743
0.1,6,1,2,372.2222869869985
0.1,6,1,3,367.108841855935
0.1,6,1,4,378.0688468397316
0.1,6,1,5,346.81013301190876
0.1,6,1,6,366.9342646659503
0.1,6,1,7,370.8258034117938
0.1,6,1,8,355.0221771399873
0.1,6,1,9,362.97044237949694
0.1,6,1,10,366.84679219991256
0.1,6,1,11,362.7993371407472
0.1,6,1,12,365.38588982254214
0.1,6,1,13,371.2423740315245
0.1,6,1,14,361.084817710469
0.1,6,1,15,362.9199988205385
0.1,6,1,16,361.02984154012984
0.1,6,1,17,372.7584709350813
0.1,6,1,18,364.8157119745223
0.1,6,1,19,361.87408880440455
0.1,6,1,20,355.9013425864866
0.1,6,1,21,364.30396939568425
0.1,6,1,22,369.2357114889468
0.1,6,1,23,369.4724445096613
0.1,6,1,24,363.895461413353
0.1,6,1,25,366.4495863487431
0.1,6,1,26,367.7688442057863
0.1,6,1,27,371.7159370793529
0.1,6,1,28,370.7778328088646
0.1,6,1,29,365.02408553354155
0.1,12,1,0,378.2211609772276
0.1,12,1,1,355.7763034009743
0.1,12,1,2,372.2222869869985
0.1,12,1,3,367.108841855935
0.1,12,1,4,378.0688468397316
0.1,12,1,5,346.81013301190876
0.1,12,1,6,366.9342646659503
0.1,12,1,7,370.8258034117938
0.1,12,1,8,355.0221771399873
0.1,12,1,9,362.97044237949694
0.1,12,1,10,366.84679219991256
0.1,12,1,11,362.7993371407472
0.1,12,1,12,365.38588982254214
0.1,12,1,13,371.2423740315245
0.1,12,1,14,361.084817710469
0.1,12,1,15,362.9199988205385
0.1,12,1,16,361.02984154012984
0.1,12,1,17,372.7584709350813
0.1,12,1,18,364.8157119745223
0.1,12,1,19,361.87408880440455
0.1,12,1,20,355.9013425864866
0.1,12,1,21,364.30396939568425
0.1,12,1,22,369.2357114889468
0.1,12,1,23,369.4724445096613
0.1,12,1,24,363.895461413353
0.1,12,1,25,366.4495863487431
0.1,12,1,26,367.7688442057863
0.1,12,1,27,371.7159370793529
0.1,12,1,28,370.7778328088646
0.1,12,1,29,365.02408553354155
0.2,0,1,0,490.1831503290506
0.2,0,1,1,466.5596479753843
0.2,0,1,2,482.4294858387553
0.2,0,1,3,474.80765624173665
0.2,0,1,4,488.4332780042173
0.2,0,1,5,458.6818740046274
0.2,0,1,6,473.70295826211947
0.2,0,1,7,482.3987684054645
0.2,0,1,8,464.01132972702936
0.2,0,1,9,472.3640866135814
0.2,0,1,10,476.15341393943214
0.2,0,1,11,472.84227364877364
0.2,0,1,12,473.14933240481406
0.2,0,1,13,478.51432494284074
0.2,0,1,14,466.8822419754487
0.2,0,1,15,469.5271248540118
0.2,0,1,16,469.9417771690057
0.2,0,1,17,483.4353080639916
0.2,0,1,18,474.42952917619345
0.2,0,1,19,472.30454172249335
0.2,0,1,20,464.94471271753156
0.2,0,1,21,477.47970072667266
0.2,0,1,22,477.6456826462467
0.2,0,1,23,480.3774985568874
0.2,0,1,24,476.4081200558057
0.2,0,1,25,476.8773779440102
0.2,0,1,26,479.0119090717689
0.2,0,1,27,479.3527151424442
0.2,0,1,28,479.332909927913
0.2,0,1,29,475.0707359256387
0.2,2,1,0,506.68819234030985
0.2,2,1,1,481.0117084419087
0.2,2,1,2,492.67129857328985
0.2,2,1,3,492.06797766224275
0.2,2,1,4,501.64014725803906
0.2,2,1,5,471.8617780473371
0.2,2,1,6,489.1323527466281
0.2,2,1,7,495.4163868593255
0.2,2,1,8,477.41428876638236
0.2,2,1,9,490.47217817966805
0.2,2,1,10,491.55324934710745
0.2,2,1,11,487.35722748509374
0.2,2,1,12,487.499276627023
0.2,2,1,13,492.43788080036376
0.2,2,1,14,484.811425069813
0.2,2,1,15,480.76109336980227
0.2,2,1,16,484.325967915139
0.2,2,1,17,499.0102923754155
0.2,2,1,18,490.6520540138962
0.2,2,1,19,488.6375182406297
0.2,2,1,20,481.9115070046511
0.2,2,1,21,493.1004951454853
0.2,2,1,22,494.22194073432945
0.2,2,1,23,496.33833788663304
0.2,2,1,24,493.446203647462
0.2,2,1,25,490.9807804214839
0.2,2,1,26,493.0365159273549
0.2,2,1,27,495.2155214397388
0.2,2,1,28,495.02862960290446
0.2,2,1,29,491.53369323378064
0.2,4,1,0,510.64137623383056
0.2,4,1,1,483.1930829751061
0.2,4,1,2,497.17066068826546
0.2,4,1,3,494.7902843382708
0.2,4,1,4,504.8938758495375
0.2,4,1,5,475.95890236206003
0.2,4,1,6,491.00593786021466
0.2,4,1,7,497.79559666831335
0.2,4,1,8,481.58056074680326
0.2,4,1,9,493.5343143837538
0.2,4,1,10,494.96801343640334
0.2,4,1,11,489.7881785728448
0.2,4,1,12,491.6225265677285
0.2,4,1,13,495.69471085622115
0.2,4,1,14,487.736412961988
0.2,4,1,15,484.62734235488335
0.2,4,1,16,487.10517772412686
0.2,4,1,17,502.5547880550291
0.2,4,1,18,494.35394628855795
0.2,4,1,19,490.7974331910973
0.2,4,1,20,484.06200382314955
0.2,4,1,21,496.4003011930556
0.2,4,1,22,498.1897335653042
0.2,4,1,23,498.4820089699382
0.2,4,1,24,496.0141990928737
0.2,4,1,25,493.6226764354757
0.2,4,1,26,496.3569438845701
0.2,4,1,27,497.62821211744335
0.2,4,1,28,497.34102524474645
0.2,4,1,29,494.4908760020544
0.2,6,1,0,510.8294416579449
0.2,6,1,1,482.9811483992205
0.2,6,1,2,497.32940770918094
0.2,6,1,3,494.5783497623852
0.2,6,1,4,504.6819412736519
0.2,6,1,5,476.1469677861745
0.2,6,1,6,490.94511853201675
0.2,6,1,7,497.58366209242786
0.2,6,1,8,481.36862617091776
0.2,6,1,9,493.72237980786826
0.2,6,1,10,494.79408277116295
0.2,6,1,11,489.9762439969593
0.2,6,1,12,491.810591991843
0.2,6,1,13,495.48277628033554
0.2,6,1,14,487.92447838610246
0.2,6,1,15,484.6017321059784
0.2,6,1,16,486.89324314824137
0.2,6,1,17,502.3428534791435
0.2,6,1,18,494.14201171267234
0.2,6,1,19,490.9854986152118
0.2,6,1,20,483.85006924726406
0.2,6,1,21,496.1883666171701
0.2,6,1,22,498.3777989894187
0.2,6,1,23,498.2700743940526
0.2,6,1,24,496.2022645169882
0.2,6,1,25,493.4107418595901
0.2,6,1,26,496.41126604017563
0.2,6,1,27,497.81627754155784
0.2,6,1,28,497.52909066886093
0.2,6,1,29,494.6789414261689
0.2,12,1,0,510.8294416579449
0.2,12,1,1,482.9811483992205
0.2,12,1,2,497.32940770918094
0.2,12,1,3,494.5783497623852
0.2,12,1,4,504.6819412736519
0.2,12,1,5,476.1469677861745
0.2,12,1,6,490.94511853201675
